cid,aid,activity,acname,acvalue,geneid
135567142,1287926,Active,IC50,0.0015,7297
135567142,1287923,Active,IC50,0.0006,3716
135567142,1287923,Active,IC50,0.0001,3716
135567142,1287935,Active,IC50,0.002,9891
135567142,1287936,Active,IC50,0.002,84446
135567142,1287925,Active,IC50,0.0025,3718
135567142,1287939,Active,IC50,0.0055,5562
135567142,1287937,Active,IC50,0.004,23235
135567142,1287924,Active,IC50,0.004,3717
135567142,1287931,Active,IC50,0.003,3716
135567142,1287938,Active,IC50,0.005,2322
135567142,1287940,Active,IC50,0.009,5156
135488027,684155,Active,IC50,0.007,5156
67161540,684155,Active,IC50,0.003,5156
67161862,684155,Active,IC50,0.005,5156
67163677,684155,Active,IC50,0.002,5156
135430397,684155,Active,IC50,0.006,5156
67162590,684155,Active,IC50,0.003,5156
67163022,684155,Active,IC50,0.006,5156
135507297,684155,Active,IC50,0.005,5156
135405015,684155,Active,IC50,0.003,5156
135546228,684155,Active,IC50,0.006,5156
135488014,684155,Active,IC50,0.007,5156
42642645,624777,Active,Kd,0.0036,4921
42642645,625032,Active,Kd,0.0041,4915
42642645,625108,Active,Kd,0.0037,2872
42642645,768495,Active,IC50,0.004,3815
42642645,1235501,Active,IC50,0.00486,3791
42642645,1235512,Active,INH,0.0008,3791
42642645,1276898,Active,IC50,0.0004,4233
42642645,1276900,Active,IC50,0.003,4486
42642645,1276899,Active,IC50,0.0009,3791
42642645,1304955,Active,IC50,0.0009,3791
42642645,1304954,Active,IC50,0.0004,4233
42642645,1318745,Active,IC50,0.0036,2322
42642645,1318743,Active,IC50,0.003,4486
42642645,1318748,Active,IC50,0.0036,5156
42642645,1318750,Active,IC50,0.0011,7010
42642645,1318742,Active,IC50,0.0004,4233
42642645,1318749,Active,IC50,0.0096,5159
42642645,1318774,Active,IC50,0.00086,3791
42642645,1330827,Active,IC50,0.003,4486
42642645,1330829,Active,IC50,0.0036,2322
42642645,1330825,Active,IC50,0.0004,4233
42642645,1330830,Active,IC50,0.0036,5156
42642645,1330826,Active,IC50,0.00086,3791
42642645,1330831,Active,IC50,0.0096,5159
42642645,624777,Active,Kd,0.0036,4921
42642645,625032,Active,Kd,0.0041,4915
42642645,625108,Active,Kd,0.0037,2872
42642645,768495,Active,IC50,0.004,3815
42642645,1235501,Active,IC50,0.00486,3791
42642645,1235512,Active,INH,0.0008,3791
42642645,1276898,Active,IC50,0.0004,4233
42642645,1276900,Active,IC50,0.003,4486
42642645,1276899,Active,IC50,0.0009,3791
42642645,1304955,Active,IC50,0.0009,3791
42642645,1304954,Active,IC50,0.0004,4233
42642645,1318745,Active,IC50,0.0036,2322
42642645,1318743,Active,IC50,0.003,4486
42642645,1318748,Active,IC50,0.0036,5156
42642645,1318750,Active,IC50,0.0011,7010
42642645,1318742,Active,IC50,0.0004,4233
42642645,1318749,Active,IC50,0.0096,5159
42642645,1318774,Active,IC50,0.00086,3791
42642645,1330827,Active,IC50,0.003,4486
42642645,1330829,Active,IC50,0.0036,2322
42642645,1330825,Active,IC50,0.0004,4233
42642645,1330830,Active,IC50,0.0036,5156
42642645,1330826,Active,IC50,0.00086,3791
42642645,1330831,Active,IC50,0.0096,5159
